Accession,Organismo,Gen,Producto,Proteína
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ygfZ,tRNA-modifying protein YgfZ,XRA03663.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sdhE,FAD assembly factor SdhE,XRA03664.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,protein YgfX,XRA03665.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,fldB,flavodoxin FldB,XRA03666.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,xerD,site-specific tyrosine recombinase XerD,XRA03667.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,dsbC,bifunctional protein-disulfide isomerase/oxidoreductase DsbC,XRA03668.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,recJ,single-stranded-DNA-specific exonuclease RecJ,XRA03669.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,prfB,peptide chain release factor 2,XRA03670.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,lysS,lysine--tRNA ligase,XRA03671.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,idi,isopentenyl-diphosphate Delta-isomerase,XRA03672.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,actS,amidase activator ActS,XRA03673.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,DUF1460 domain-containing protein,XRA03674.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,hypothetical protein,XRA05139.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,vapB,toxin-antitoxin system antitoxin VapB,XRA03675.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,vapC,tRNA(fMet)-specific endonuclease VapC,XRA03676.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,STM3031 family outer membrane protein,XRA03677.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,YfdX family protein,XRA03678.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,fimbrial protein,XRA03679.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,stdB,fimbrial outer membrane usher protein StdB,XRA03680.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,stdC,fimbrial biogenesis chaperone StdC,XRA03681.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,outer membrane protein,XRA03682.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,CaiF/GrlA family transcriptional regulator,XRA03683.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,transcriptional regulator,XRA03684.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,nickel/cobalt efflux protein RcnA,XRA03685.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,rcnR,Ni(II)/Co(II)-binding transcriptional repressor RcnR,XRA03686.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,amino acid permease,XRA03687.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,multidrug/biocide efflux PACE transporter,XRA03688.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,LysR family transcriptional regulator,XRA03689.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,acetyl-CoA C-acetyltransferase,XRA03690.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,kduI,5-dehydro-4-deoxy-D-glucuronate isomerase,XRA03691.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,kduD,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD,XRA03692.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,araE,arabinose-proton symporter AraE,XRA03693.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,aspartate/glutamate racemase,XRA03694.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,LysR family transcriptional regulator,XRA03695.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,lysA,diaminopimelate decarboxylase,XRA03696.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,LacI family DNA-binding transcriptional regulator,XRA05140.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,galR,HTH-type transcriptional regulator GalR,XRA03697.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,aas,bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase,XRA03698.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,lplT,lysophospholipid transporter LplT,XRA03699.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,NADP(H)-dependent aldo-keto reductase,XRA03700.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,YgdI/YgdR family lipoprotein,XRA03701.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,TerC family protein,XRA03702.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,mutH,DNA mismatch repair endonuclease MutH,XRA03703.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,rppH,RNA pyrophosphohydrolase,XRA03704.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ptsP,phosphoenolpyruvate--protein phosphotransferase,XRA03705.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,lgt,prolipoprotein diacylglyceryl transferase,XRA03706.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,thyA,thymidylate synthase,XRA03707.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,prepilin peptidase-dependent protein,XRA03708.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,prepilin peptidase-dependent protein,XRA03709.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,DUF2509 family protein,XRA03710.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,prepilin-type N-terminal cleavage/methylation domain-containing protein,XRA03711.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,recC,exodeoxyribonuclease V subunit gamma,XRA03712.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ptrA,pitrilysin,XRA03713.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,recB,exodeoxyribonuclease V subunit beta,XRA03714.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,recD,exodeoxyribonuclease V subunit alpha,XRA03715.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,argA,amino-acid N-acetyltransferase,XRA03716.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,amiC,N-acetylmuramoyl-L-alanine amidase AmiC,XRA03717.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,mltA,murein transglycosylase A,XRA03718.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,tcdA,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,XRA03719.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,rarD,EamA family transporter RarD,XRA05141.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,csdE,cysteine desulfurase sulfur acceptor subunit CsdE,XRA03720.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,csdA,cysteine desulfurase CsdA,XRA03721.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,YgdI/YgdR family lipoprotein,XRA03722.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,gcvA,glycine cleavage system transcriptional regulator GcvA,XRA03723.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,DUF423 domain-containing protein,XRA03724.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,rlmM,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,XRA03725.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,fucR,L-fucose operon activator,XRA03726.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,fucU,L-fucose mutarotase,XRA03727.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,fucK,L-fuculokinase,XRA03728.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,fucI,L-fucose isomerase,XRA03729.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,fucP,L-fucose:H+ symporter permease,XRA03730.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,fucA,L-fuculose-phosphate aldolase,XRA03731.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,fucO,lactaldehyde reductase,XRA03732.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,xni,flap endonuclease Xni,XRA03733.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sdaB,L-serine ammonia-lyase II,XRA03734.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sdaC,HAAAP family serine/threonine permease SdaC,XRA03735.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ppnN,nucleotide 5'-monophosphate nucleosidase PpnN,XRA03736.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,XRA03737.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,syd,SecY-interacting protein,XRA03738.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,YqcC family protein,XRA03739.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,truC,tRNA pseudouridine(65) synthase TruC,XRA03740.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,flavodoxin,XRA03741.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,hypothetical protein,XRA03742.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,gudP,galactarate/glucarate/glycerate transporter GudP,XRA03743.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,enolase C-terminal domain-like protein,XRA03744.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,gudD,glucarate dehydratase,XRA03745.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,glycerate kinase,XRA03746.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,barA,two-component sensor histidine kinase BarA,XRA03747.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,XRA03748.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,relA,GTP diphosphokinase,XRA03749.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,type II toxin-antitoxin system ParD family antitoxin,XRA03750.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,type II toxin-antitoxin system RelE/ParE family toxin,XRA03751.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,fimbrial protein SteA,ND
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,mazG,nucleoside triphosphate pyrophosphohydrolase,XRA03752.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,pyrG,glutamine hydrolyzing CTP synthase,XRA03753.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,eno,phosphopyruvate hydratase,XRA03754.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,queE,7-carboxy-7-deazaguanine synthase QueE,XRA03755.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,MBL fold metallo-hydrolase,XRA03756.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,queD,6-carboxytetrahydropterin synthase QueD,XRA03757.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cysJ,NADPH-dependent assimilatory sulfite reductase flavoprotein subunit,XRA03758.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cysI,assimilatory sulfite reductase (NADPH) hemoprotein subunit,XRA03759.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cysH,phosphoadenosine phosphosulfate reductase,XRA03760.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sopD,SPI-1 type III secretion system effector SopD,XRA03761.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,CRISPR-associated helicase/endonuclease Cas3,XRA03762.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,casA,type I-E CRISPR-associated protein Cse1/CasA,XRA03763.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,casB,type I-E CRISPR-associated protein Cse2/CasB,XRA03764.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cas7e,type I-E CRISPR-associated protein Cas7/Cse4/CasC,XRA03765.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cas5e,type I-E CRISPR-associated protein Cas5/CasD,XRA03766.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cas6e,type I-E CRISPR-associated protein Cas6/Cse3/CasE,XRA03767.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cas1e,type I-E CRISPR-associated endonuclease Cas1e,XRA03768.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cas2e,type I-E CRISPR-associated endoribonuclease Cas2e,XRA03769.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,aminopeptidase,XRA03770.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cysD,sulfate adenylyltransferase subunit CysD,XRA03771.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cysN,sulfate adenylyltransferase subunit CysN,XRA03772.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,cysC,adenylyl-sulfate kinase,XRA03773.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,DUF3561 family protein,XRA03774.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ftsB,cell division protein FtsB,XRA03775.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,XRA03776.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",XRA03777.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,truD,tRNA pseudouridine(13) synthase TruD,XRA03778.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,surE,5'/3'-nucleotidase SurE,XRA03779.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,protein-L-isoaspartate(D-aspartate) O-methyltransferase,XRA03780.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,peptidase,XRA05142.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,nlpD,murein hydrolase activator NlpD,XRA05143.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,rpoS,RNA polymerase sigma factor RpoS,XRA03781.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,non-oxidative hydroxyarylic acid decarboxylases subunit D,XRA03782.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,non-oxidative hydroxyarylic acid decarboxylases subunit C,XRA03783.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,non-oxidative hydroxyarylic acid decarboxylases subunit B,XRA03784.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,MarR family winged helix-turn-helix transcriptional regulator,XRA03785.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ygbI,DNA-binding transcriptional repressor YgbI,XRA03786.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ltnD,L-threonate dehydrogenase,XRA03787.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,otnK,3-oxo-tetronate kinase,XRA03788.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,aldolase,XRA03789.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,HPr family phosphocarrier protein,XRA03790.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,denD,D-erythronate dehydrogenase,XRA03791.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,GntP family permease,XRA03792.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,LysR substrate-binding domain-containing protein,XRA03793.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,MFS transporter,XRA03794.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,DUF4440 domain-containing protein,XRA03795.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,mutS,DNA mismatch repair protein MutS,XRA03796.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,cytoplasmic protein,XRA03797.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,pphB,protein-serine/threonine phosphatase,XRA03798.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,IS5/IS1182 family transposase,ND
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,GNAT family N-acetyltransferase,XRA03799.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,DUF1778 domain-containing protein,XRA03800.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,IS3 family transposase,ND
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,hypothetical protein,XRA03801.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,DUF1493 family protein,XRA03802.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,STM2901 family protein,XRA03803.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,invH,SPI-1 type III secretion system invasion lipoprotein InvH,XRA03804.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,invF,type III secretion system transcriptional activator InvF,XRA05144.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,invG,type III secretion system outer membrane ring protein InvG,XRA03805.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,invE,type III secretion system gatekeeper InvE,XRA03806.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,invA,type III secretion system export apparatus protein InvA,XRA03807.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,spaK,SPI-1 type III secretion system chaperone SpaK,XRA03808.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,invC,SctN family type III secretion system ATPase InvC,XRA03809.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,spaM,SPI-1 type III secretion system protein SpaM,XRA03810.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,spaN,SPI-1 type III secretion system protein SpaN,XRA03811.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,spaO,SPI-1 type III secretion system protein SpaO,XRA03812.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,spaP,SPI-1 type III secretion system export apparatus protein SpaP,XRA03813.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,spaQ,SPI-1 type III secretion system export apparatus protein SpaQ,XRA03814.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,spaR,SPI-1 type III secretion system export apparatus protein SpaR,XRA03815.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,spaS,SPI-1 type III secretion system export apparatus protein SpaS,XRA03816.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sicA,SycD/LcrH family type III secretion system chaperone SicA,XRA03817.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sipB,SPI-1 type III secretion system needle tip complex protein SipB,XRA03818.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sipC,SPI-1 type III secretion system needle tip complex protein SipC,XRA03819.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sipD,SPI-1 type III secretion system needle tip complex protein SipD,XRA03820.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sipA,SPI-1 type III secretion system effector SipA,XRA03821.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,acyl carrier protein,XRA03822.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,hypothetical protein,XRA03823.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sicP,chaperone SicP,XRA03824.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sptP,SPI-1 type III secretion system effector GTPase-activating protein SptP,XRA03825.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,iagB,SPI-1 type III secretion system invasion protein IagB,XRA03826.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hilA,transcriptional regulator HilA,XRA03827.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hilD,transcriptional regulator HilD,XRA03828.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,prgH,type III secretion system inner membrane ring protein PrgH,XRA03829.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,prgI,type III secretion system needle filament protein PrgI,XRA03830.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,prgJ,type III secretion system inner rod protein PrgJ,XRA03831.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,prgK,type III secretion system inner membrane ring lipoprotein PrgK,XRA03832.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,orgA,oxygen-regulated invasion protein OrgA,XRA03833.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,orgB,type III secretion system linker protein OrgB,XRA03834.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,type III secretion system effector protein OrgC,XRA05145.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hilC,invasion transcriptional regulator HilC,XRA03835.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sprB,transcriptional regulator SprB,XRA03836.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,avrA,type III secretion system YopJ family effector AvrA,XRA03837.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sitD,iron/manganese ABC transporter permease subunit SitD,XRA03838.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sitC,iron/manganese ABC transporter permease subunit SitC,XRA03839.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sitB,iron/manganese ABC transporter ATP-binding protein SitB,XRA03840.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,sitA,iron/manganese ABC transporter substrate-binding protein SitA,XRA03841.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,nitrous oxide-stimulated promoter family protein,XRA03842.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,flhA,formate hydrogenlyase transcriptional activator FlhA,XRA03843.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hypE,hydrogenase expression/formation protein HypE,XRA03844.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hypD,hydrogenase formation protein HypD,XRA03845.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hypC,hydrogenase 3 maturation protein HypC,XRA03846.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hypB,hydrogenase nickel incorporation protein HypB,XRA03847.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hypA,hydrogenase maturation nickel metallochaperone HypA,XRA03848.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hycA,formate hydrogenlyase regulator HycA,XRA03849.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hycB,formate hydrogenlyase subunit HycB,XRA03850.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hycC,formate hydrogenlyase subunit 3,XRA03851.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,respiratory chain complex I subunit 1 family protein,XRA03852.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hycE,formate hydrogenlyase subunit HycE,XRA03853.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hycF,formate hydrogenlyase subunit HycF,XRA03854.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hycG,formate hydrogenlyase subunit HycG,XRA03855.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,formate hydrogenlyase maturation HycH family protein,XRA03856.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hycI,hydrogenase maturation peptidase HycI,XRA03857.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,hypothetical protein,XRA03858.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hydN,electron transport protein HydN,XRA03859.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,hypF,carbamoyltransferase HypF,XRA03860.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,norW,NADH:flavorubredoxin reductase NorW,XRA03861.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,norV,anaerobic nitric oxide reductase flavorubredoxin,XRA03862.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,norR,nitric oxide reductase transcriptional regulator NorR,XRA03863.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,gutQ,arabinose-5-phosphate isomerase GutQ,XRA03864.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,srlR,glucitol operon DNA-binding transcriptional repressor SrlR,XRA03865.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,gutM,transcriptional regulator GutM,XRA03866.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,srlD,sorbitol-6-phosphate dehydrogenase,XRA03867.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,srlB,PTS glucitol/sorbitol transporter subunit IIA,XRA03868.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,PTS glucitol/sorbitol transporter subunit IIB,XRA03869.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,srlA,PTS glucitol/sorbitol transporter subunit IIC,XRA03870.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,mltB,lytic murein transglycosylase B,XRA03871.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,hypothetical protein,XRA03872.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,pncC,nicotinamide-nucleotide amidase,XRA05146.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,recA,recombinase RecA,XRA03873.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,recX,recombination regulator RecX,XRA03874.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,alaS,alanine--tRNA ligase,XRA03875.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,csrA,carbon storage regulator CsrA,XRA03876.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,yqaB,fructose-1-phosphate/6-phosphogluconate phosphatase,XRA03877.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,ND,YqaA family protein,XRA03878.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,gshA,glutamate--cysteine ligase,XRA03879.1
CP176561.1,Salmonella enterica subsp. enterica serovar Typhimurium,luxS,S-ribosylhomocysteine lyase,XRA03880.1
