Archivo_aln,Accession,Organismo,Gen,Producto,Proteína
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,metB,cystathionine gamma-synthase,XEQ12547.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,metJ,met regulon transcriptional regulator MetJ,XEQ12548.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,aryl-sulfate sulfotransferase,XEQ12549.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,TIGR02117 family protein,XEQ12550.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rpmE,50S ribosomal protein L31,XEQ15423.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,priA,primosomal protein N',XEQ12551.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,cytR,DNA-binding transcriptional regulator CytR,XEQ12552.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ftsN,cell division protein FtsN,XEQ12553.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,hslV,ATP-dependent protease subunit HslV,XEQ12554.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,hslU,HslU--HslV peptidase ATPase subunit,XEQ12555.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,menA,"1,4-dihydroxy-2-naphthoate polyprenyltransferase",XEQ12556.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rraA,ribonuclease E activity regulator RraA,XEQ12557.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,zapB,septal ring assembly protein ZapB,XEQ12558.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,aquaporin,XEQ12559.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,glpK,glycerol kinase GlpK,XEQ12560.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,glpX,class II fructose-bisphosphatase,XEQ12561.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fpr,ferredoxin--NADP(+) reductase,XEQ12562.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DUF805 domain-containing protein,XEQ12563.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,YiiQ family protein,XEQ12564.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,tpiA,triose-phosphate isomerase,XEQ12565.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,epimerase,XEQ12566.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lsrG,"(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",XEQ15424.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lsrF,"3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase",XEQ12567.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lsrB,autoinducer 2 ABC transporter substrate-binding protein LsrB,XEQ12568.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lsrD,autoinducer 2 ABC transporter permease LsrD,XEQ12569.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lsrC,autoinducer 2 ABC transporter permease LsrC,XEQ12570.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lsrA,autoinducer 2 ABC transporter ATP-binding protein LsrA,XEQ12571.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lsrR,transcriptional regulator LsrR,XEQ12572.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lsrK,autoinducer-2 kinase,XEQ12573.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,cupin domain-containing protein,XEQ12574.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,CDP-diacylglycerol diphosphatase,ND
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,ND
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,GntR family transcriptional regulator,XEQ12575.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,ADP-ribosylglycohydrolase family protein,XEQ12576.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,aminoimidazole riboside kinase,XEQ12577.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,MFS transporter,XEQ12578.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,CDP-diacylglycerol diphosphatase,XEQ12579.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,sulfate ABC transporter substrate-binding protein,XEQ12580.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,pfkA,6-phosphofructokinase,XEQ12581.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fieF,CDF family cation-efflux transporter FieF,XEQ12582.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ogrK,prophage transcriptional regulator OgrK,XEQ15425.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage late control D family protein,XEQ12583.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage tail protein,XEQ12584.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage tail tape measure protein,XEQ12585.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,GpE family phage tail protein,XEQ12586.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage tail assembly protein,XEQ12587.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage major tail tube protein,XEQ12588.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage tail sheath protein,XEQ12589.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,recombinase family protein,XEQ12590.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,ND
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,tail assembly chaperone,XEQ12591.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,tail fiber assembly protein,XEQ12592.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage tail protein,XEQ15426.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage tail protein,ND
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage tail protein I,XEQ12593.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,baseplate assembly protein,XEQ12594.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,GPW/gp25 family protein,XEQ12595.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage baseplate assembly protein V,XEQ12596.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage virion morphogenesis protein,XEQ12597.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage tail protein,XEQ12598.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lysC,Rz1-like lysis system protein LysC,XEQ12599.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,lysB,Rz-like lysis system protein LysB,XEQ12600.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DNZ54_00345 family protein,XEQ12601.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,glycoside hydrolase family 104 protein,XEQ12602.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage holin family protein,XEQ12603.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,tail protein X,XEQ12604.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,head completion/stabilization protein,XEQ12605.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,terminase endonuclease subunit,XEQ12606.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,"phage major capsid protein, P2 family",XEQ12607.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,GPO family capsid scaffolding protein,XEQ12608.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,terminase ATPase subunit family protein,XEQ12609.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,phage portal protein,XEQ12610.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DNA adenine methylase,XEQ12611.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,XEQ12612.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,ParB N-terminal domain-containing protein,XEQ12613.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,XEQ12614.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DUF3850 domain-containing protein,XEQ15427.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,replication endonuclease,XEQ12615.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DUF5405 family protein,XEQ12616.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,TraR/DksA C4-type zinc finger protein,XEQ12617.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DUF5405 family protein,XEQ12618.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DUF2732 domain-containing protein,XEQ12619.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,replication protein B,XEQ12620.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,XEQ12621.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,regulatory phage cox family protein,XEQ12622.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,helix-turn-helix transcriptional regulator,XEQ12623.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,tyrosine-type recombinase/integrase,XEQ12624.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,cpxP,cell-envelope stress modulator CpxP,XEQ12625.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,cpxR,envelope stress response regulator transcription factor CpxR,XEQ12626.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,cpxA,envelope stress sensor histidine kinase CpxA,XEQ12627.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,nuclear transport factor 2 family protein,XEQ12628.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,yiiM,6-N-hydroxylaminopurine resistance protein,XEQ12629.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,sodA,superoxide dismutase [Mn],XEQ12630.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,ND
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,ND
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhaT,L-rhamnose/proton symporter RhaT,XEQ12631.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhaR,HTH-type transcriptional activator RhaR,XEQ12632.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhaS,HTH-type transcriptional activator RhaS,XEQ12633.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhaB,rhamnulokinase,XEQ12634.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhaA,L-rhamnose isomerase,XEQ12635.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhaD,rhamnulose-1-phosphate aldolase,XEQ12636.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fucO,lactaldehyde reductase,XEQ12637.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhaM,L-rhamnose mutarotase,XEQ12638.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,XRE family transcriptional regulator,XEQ12639.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,AzlC family ABC transporter permease,XEQ12640.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,AzlD domain-containing protein,XEQ12641.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DUF3829 domain-containing protein,XEQ12642.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,XEQ12643.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,ATP-binding protein,XEQ12644.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,YiiG family protein,XEQ12645.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,YiiG family protein,XEQ12646.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fdhD,formate dehydrogenase accessory sulfurtransferase FdhD,XEQ12647.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fdnG,formate dehydrogenase-N subunit alpha,XEQ12648.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fdxH,formate dehydrogenase subunit beta,XEQ12649.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fdoI,formate dehydrogenase cytochrome b556 subunit,XEQ12650.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fdhE,formate dehydrogenase accessory protein FdhE,XEQ12651.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DNA-binding transcriptional regulator,XEQ12652.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,type II toxin-antitoxin system RelE/ParE family toxin,XEQ12653.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,alpha/beta hydrolase,XEQ12654.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fabY,fatty acid biosynthesis protein FabY,XEQ12655.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,dtd,D-tyrosyl-tRNA(Tyr) deacylase,XEQ12656.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,virulence factor BrkB family protein,XEQ12657.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,yihX,glucose-1-phosphatase,XEQ12658.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DeoR/GlpR family DNA-binding transcription regulator,XEQ12659.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,sugar kinase,XEQ12660.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,yihU,sulfolactaldehyde 3-reductase,XEQ12661.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,yihT,sulfofructosephosphate aldolase,XEQ12662.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,yihS,sulfoquinovose isomerase,XEQ12663.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,aldose-1-epimerase,XEQ12664.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,alpha-glucosidase,XEQ12665.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,MFS transporter,XEQ12666.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,MFS transporter,XEQ12667.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ompL,porin OmpL,XEQ12668.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,STM4015 family protein,XEQ12669.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,STM4014 family protein,XEQ12670.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,STM4013/SEN3800 family hydrolase,XEQ12671.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,STM4012 family radical SAM protein,XEQ12672.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,STM4011 family radical SAM protein,XEQ12673.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,Cof-type HAD-IIB family hydrolase,XEQ12674.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,typA,ribosome-dependent GTPase TypA,XEQ12675.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,glnA,glutamate--ammonia ligase,XEQ12676.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,glnL,nitrogen regulation protein NR(II),XEQ12677.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,glnG,nitrogen regulation protein NR(I),XEQ12678.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,YshB family small membrane protein,XEQ12679.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,hemN,oxygen-independent coproporphyrinogen III oxidase,XEQ15428.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,yihI,Der GTPase-activating protein YihI,XEQ12680.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,XEQ12681.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC,XEQ12682.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,polA,DNA polymerase I,XEQ12683.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,acyltransferase,XEQ12684.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,dsbA,thiol:disulfide interchange protein DsbA,XEQ12685.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,serine/threonine protein kinase,XEQ12686.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,YihD family protein,XEQ12687.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,mobA,molybdenum cofactor guanylyltransferase MobA,XEQ12688.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,mobB,molybdopterin-guanine dinucleotide biosynthesis protein MobB,XEQ15429.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,hemG,menaquinone-dependent protoporphyrinogen IX dehydrogenase,XEQ12689.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,trkH,Trk system potassium transporter TrkH,XEQ12690.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,IMPACT family protein,XEQ12691.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,pepQ,Xaa-Pro dipeptidase,XEQ12692.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fadB,fatty acid oxidation complex subunit alpha FadB,XEQ12693.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fadA,acetyl-CoA C-acyltransferase FadA,XEQ12694.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,aryl-sulfate sulfotransferase,XEQ12695.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,fre,NAD(P)H-flavin reductase,XEQ12696.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ubiD,4-hydroxy-3-polyprenylbenzoate decarboxylase,XEQ12697.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rfaH,transcription/translation regulatory transformer protein RfaH,XEQ12698.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,tatD,3'-5' ssDNA/RNA exonuclease TatD,XEQ12699.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,tatC,Sec-independent protein translocase subunit TatC,XEQ12700.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,tatB,Sec-independent protein translocase protein TatB,XEQ12701.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,tatA,Sec-independent protein translocase subunit TatA,XEQ12702.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ubiB,ubiquinone biosynthesis regulatory protein kinase UbiB,XEQ12703.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ubiJ,ubiquinone biosynthesis protein UbiJ,XEQ12704.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ubiE,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",XEQ12705.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rmuC,DNA recombination protein RmuC,XEQ12706.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,udp,uridine phosphorylase,XEQ12707.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,dienelactone hydrolase family protein,XEQ12708.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,anaerobic sulfatase maturase,XEQ12709.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,XEQ12710.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,metR,HTH-type transcriptional regulator MetR,XEQ12711.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,carboxylate/amino acid/amine transporter,XEQ12712.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,yigL,sugar/pyridoxal phosphate phosphatase YigL,XEQ12713.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,pldB,lysophospholipase L2,XEQ12714.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhtB,homoserine/homoserine lactone efflux protein,XEQ12715.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhtC,threonine export protein RhtC,XEQ12716.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,recQ,ATP-dependent DNA helicase RecQ,XEQ15430.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,pldA,phospholipase A,XEQ12717.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,thioesterase family protein,XEQ12718.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rarD,EamA family transporter RarD,XEQ12719.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,XEQ12720.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,XEQ12721.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,corA,magnesium/cobalt transporter CorA,XEQ12722.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ysgD,protein YsgD,XEQ15431.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,uvrD,DNA helicase II,XEQ12723.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,yigB,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB,XEQ12724.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,xerC,tyrosine recombinase XerC,XEQ12725.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DUF484 domain-containing protein,XEQ12726.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,dapF,diaminopimelate epimerase,XEQ15432.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,lipoprotein,XEQ12727.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,XEQ12728.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,ND
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,DUF3021 family protein,XEQ12729.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,cyaY,iron donor protein CyaY,XEQ12730.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,cyaA,class I adenylate cyclase,XEQ12731.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,hemC,hydroxymethylbilane synthase,XEQ12732.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,hemD,uroporphyrinogen-III synthase,XEQ12733.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,hemX,uroporphyrinogen-III C-methyltransferase,XEQ12734.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,hemY,protoheme IX biogenesis protein HemY,XEQ15433.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,amino acid permease,XEQ12735.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rffM,lipopolysaccharide N-acetylmannosaminouronosyltransferase,XEQ12736.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,wzyE,ECA oligosaccharide polymerase,XEQ12737.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase,XEQ12738.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,wzxE,lipid III flippase WzxE,XEQ12739.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rffA,"dTDP-4-amino-4,6-dideoxygalactose transaminase",XEQ12740.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rffC,"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase",XEQ12741.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,glucose-1-phosphate thymidylyltransferase,ND
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,hypothetical protein,ND
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rffG,"dTDP-glucose 4,6-dehydratase",XEQ12742.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,XEQ12743.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,wecB,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),XEQ12744.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,wzzE,ECA polysaccharide chain length modulation protein,XEQ12745.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,wecA,UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase,XEQ12746.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rho,transcription termination factor Rho,XEQ12747.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,ND,rho operon leader peptide,XEQ15434.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,trxA,thioredoxin TrxA,XEQ12748.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rhlB,ATP-dependent RNA helicase RhlB,XEQ12749.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,gppA,"guanosine-5'-triphosphate,3'-diphosphate diphosphatase",XEQ12750.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,rep,DNA helicase Rep,XEQ12751.1
query_11_top5_alignment,CP087533.1,Salmonella enterica subsp. enterica,pnuC,nicotinamide riboside transporter PnuC,XEQ15435.1
